csv_file,from,to,max_ratio
algeria_population_by_wilaya_2022,10155,15180,1.49483
australia_population_by_state_and_territory_2021,19669,20828,1.05893
austria_population_by_state_2020,10008,11657,1.16477
bahamas_population_by_district_2010,25443,27854,1.09476
simplified_belgium_population_by_region_2022,98,536,5.46939
belgium_population_by_region_2022,3526,4177,1.18463
brazil_population_by_state_2021,9838,12017,1.22149
china_population_by_province_2020,9862,12916,1.30967
conterminous_usa_population_by_state_2020,9983,12395,1.24161
usa_population_by_county_2021,66721,161537,2.42108
croatia_population_by_county_2021,6512,8575,1.3168
croatia_covid_cases_by_county_2022,4964,6803,1.37047
egypt_population_by_governate_2017,9693,14062,1.45074
england_population_by_region_2022,17929,19663,1.09671
NUTS_population_by_country_2021,48114,50553,1.05069
NUTS_population_by_region_2020,15662,31500,2.01124
france_population_by_metropolitan_region_2008,10130,11425,1.12784
germany_population_by_state_2011,5082,6666,1.31169
indonesia_population_by_province_2024,6595,8556,1.29735
japan_population_by_prefecture_2020,9836,13570,1.37963
malaysia_population_by_state_2020,9950,11079,1.11347
metropolitan_france_population_by_departement_2022,9972,15155,1.51976
russia_population_by_federal_subject_2010,9854,16414,1.66572
singapore_population_by_planning_area_2015,1707,4034,2.36321
switzerland_gdp_in_billion_chf_by_canton_2019,10001,12259,1.22578
switzerland_population_by_canton_2016,10001,11992,1.19908
tunisia_population_by_governate_2014,9918,11151,1.12432
usa_population_by_state_2020,10516,13735,1.3061
vietnam_population_by_province_2019,9962,12975,1.30245
world_population_by_country_2010,20324,36947,1.8179
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,29956,51908,1.73281
csv_ne50_antimeridian_minus169_brewer_pop,32595,41464,1.2721
