name,cases
7oct_10oct(5)_0_11_old(1),719
7oct_10oct(5)_12_19_old(1),401
7oct_10oct(5)_20_39_old(2),3450
7oct_10oct(5)_40_59_old(2),3646
7oct_10oct(5)_60_69_old(1),1402
7oct_10oct(5)_70_100_old(3),1035
11oct_17oct(7)_0_11_old(1),1164
11oct_17oct(7)_12_19_old(1),591
11oct_17oct(7)_20_39_old(2),6040
11oct_17oct(7)_40_59_old(2),6279
11oct_17oct(7)_60_69_old(1),2101
11oct_17oct(7)_70_100_old(3),1572
18oct_24oct(7)_0_11_old(1),1344
18oct_24oct(7)_12_19_old(1),743
18oct_24oct(7)_20_39_old(2),7309
18oct_24oct(7)_40_59_old(2),7140
18oct_24oct(7)_60_69_old(1),2146
18oct_24oct(7)_70_100_old(3),1514
25oct_31oct(7)_0_11_old(1),1710
25oct_31oct(7)_12_19_old(1),841
25oct_31oct(7)_20_39_old(2),8376
25oct_31oct(7)_40_59_old(2),7861
25oct_31oct(7)_60_69_old(1),2164
25oct_31oct(7)_70_100_old(3),1570
1nov_3nov(3)_0_11_old(1),795
1nov_3nov(3)_12_19_old(1),344
1nov_3nov(3)_20_39_old(2),3193
1nov_3nov(3)_40_59_old(2),2952
1nov_3nov(3)_60_69_old(1),835
1nov_3nov(3)_70_100_old(3),645
