NAME_1,Population_2017,Color,Inset,Abbreviation
Ad Daqahliyah,6492381,#FFFFFF,C,DQ
Al Bahr al Ahmar,359888,#FFFFFF,C,BA
Al Buhayrah,6171613,#FFFFFF,C,BH
Al Fayyum,3596954,#FFFFFF,C,FY
Al Gharbiyah,4999633,#FFFFFF,C,GH
Al Iskandariyah,5163750,#FFFFFF,C,IK
Al Isma`iliyah,1303993,#FFFFFF,C,IS
Al Jizah,8632021,#FFFFFF,C,JZ
Al Minufiyah,4301601,#FFFFFF,C,MF
Al Minya,5497095,#FFFFFF,C,MN
Al Qahirah,9539673,#FFFFFF,C,QH
Al Qalyubiyah,5627420,#FFFFFF,C,QL
Al Uqsur,1250209,#FFFFFF,C,UQ
Al Wadi al Jadid,241247,#FFFFFF,C,WJ
As Suways,728180,#FFFFFF,C,SW
Ash Sharqiyah,7163824,#FFFFFF,C,SQ
Aswan,1473975,#FFFFFF,C,AN
Asyut,4383289,#FFFFFF,C,AT
Bani Suwayf,3154100,#FFFFFF,C,BN
Bur Sa`id,749371,#FFFFFF,C,BS
Dumyat,1496765,#FFFFFF,C,DT
Janub Sina',102018,#FFFFFF,C,JS
Kafr ash Shaykh,3362185,#FFFFFF,C,KS
Matrouh,425624,#FFFFFF,C,MT
Qina,3164281,#FFFFFF,C,QN
Shamal Sina',450328,#FFFFFF,C,SS
Suhaj,4967409,#FFFFFF,C,SJ
