PROVINSI,Population (people),Color,Inset,Label
Aceh,5554.8,,,
Bali,4433.3,,,
Banten,12431.4,,,
Bengkulu,2112.2,,,
Daerah Istimewa Yogyakarta,3759.5,,,
DKI Jakarta,10684.9,,,
Gorontalo,1227.8,,,
Jambi,3724.3,,,
Jawa Barat,50345.2,,,
Jawa Tengah,37892.3,,,
Jawa Timur,41814.5,,,
Kalimantan Barat,5695.5,,,
Kalimantan Selatan,4273.4,,,
Kalimantan Tengah,2809.7,,,
Kalimantan Timur,4045.9,,,
Kalimantan Utara,739.8,,,
Kepulauan Bangka Belitung,1531.5,,,
Kepulauan Riau,2183.3,,,
Lampung,9419.6,,,
Maluku,1945.6,,,
Maluku Utara,1355.6,,,
Nusa Tenggara Barat,5646,,,
Nusa Tenggara Timur,5656,,,
Papua,1060.6,,,
Papua Barat,578.7,,,
Papua Barat Daya,627.1,,,
Papua Pegunungan,1467,,,
Papua Selatan,542.1,,,
Papua Tengah,1472.9,,,
Riau,6728.1,,,
Sulawesi Barat,1503.2,,,
Sulawesi Selatan,9463.4,,,
Sulawesi Tengah,3121.8,,,
Sulawesi Tenggara,2793.1,,,
Sulawesi Utara,2701.8,,,
Sumatera Barat,5836.2,,,
Sumatera Selatan,8837.3,,,
Sumatera Utara,15588.5,,,
