NAME,Population (people),Color,Inset,Label
Aichi Prefecture,7542415,,,
Akita,959502,,,
Aomori,1237984,,,
Chiba,6284480,,,
Ehime Prefecture,1334841,,,
Fukui Prefecture,766863,,,
Fukuoka Prefecture,5135214,,,
Fukushima,1833152,,,
Gifu Prefecture,1978742,,,
Gunma,1939110,,,
Hiroshima,2799702,,,
Hokkaido,5224614,,,
Hyogo Prefecture,5465002,,,
Ibaraki,2867009,,,
Ishikawa Prefecture,1132526,,,
Iwate,1210534,,,
Kagawa Prefecture,950244,,,
Kagoshima Prefecture,1588256,,,
Kanagawa,9237337,,,
Kochi Prefecture,691527,,,
Kumamoto,1738301,,,
Kyoto Prefecture,2578087,,,
Mie Prefecture,1770254,,,
Miyagi,2301996,,,
Miyazaki Prefecture,1069576,,,
Nagano,2048011,,,
Nagasaki Prefecture,1312317,,,
Nara Prefecture,1324473,,,
Niigata,2201272,,,
Oita,1123852,,,
Okayama Prefecture,1888432,,,
Okinawa Prefecture,1467480,,,
Osaka Prefecture,8837685,,,
Saga Prefecture,811442,,,
Saitama,7344765,,,
Shiga,1413610,,,
Shimane,671126,,,
Shizuoka,3633202,,,
Tochigi,1933146,,,
Tokushima Prefecture,719559,,,
Tokyo,14047594,,,
Tottori Prefecture,553407,,,
Toyama,1034814,,,
Wakayama Prefecture,922584,,,
Yamagata,1068027,,,
Yamaguchi,1342059,,,
Yamanashi,809974,,,
