NAME_1,Cartogram Data (eg. Population),Color,Inset,Label
Adygey,439996,,,
Altay,2419755,,,
Amur,830103,,,
Arkhangel'sk,1227626,,,
Astrakhan',1010073,,,
Bashkortostan,4072292,,,
Belgorod,1532526,,,
Bryansk,1278217,,,
Buryat,972021,,,
Chechnya,1268989,,,
Chelyabinsk,3476217,,,
Chukot,50526,,,
Chuvash,1251619,,,
City of St. Petersburg,4879566,,,
Dagestan,2910249,,,
Gorno-Altay,206168,,,
Ingush,412529,,,
Irkutsk,2428750,,,
Ivanovo,1061651,,,
Kabardin-Balkar,859939,,,
Kaliningrad,941873,,,
Kalmyk,289481,,,
Kaluga,1010930,,,
Kamchatka,322079,,,
Karachay-Cherkess,477859,,,
Karelia,643548,,,
Kemerovo,2763135,,,
Khabarovsk,1343869,,,
Khakass,532403,,,
Khanty-Mansiy,1272468,,,
Kirov,1341312,,,
Komi,901189,,,
Kostroma,667562,,,
Krasnodar,5226647,,,
Krasnoyarsk,2828187,,,
Kurgan,910807,,,
Kursk,1127081,,,
Leningrad,1716868,,,
Lipetsk,1173513,,,
Magadan,156996,,,
Mariy-El,696459,,,
Mordovia,834755,,,
Moscow City,11503501,,,
Moskva,7095120,,,
Murmansk,795409,,,
Nenets,42090,,,
Nizhegorod,3310597,,,
North Ossetia,712980,,,
Novgorod,634111 ,,,
Novosibirsk,2665911,,,
Omsk,1977665,,,
Orel,786935,,,
Orenburg,2033072,,,
Penza,1386186,,,
Perm',2635276,,,
Primor'ye,1956497,,,
Pskov,673423,,,
Rostov,4277976,,,
Ryazan',1154114,,,
Sakha,958528,,,
Sakhalin,497973,,,
Samara,3215532,,,
Saratov,2521892,,,
Smolensk,985537,,,
Stavropol',2786281,,,
Sverdlovsk,4297747,,,
Tambov,1091994,,,
Tatarstan,3786488,,,
Tomsk,1047394,,,
Tula,1553925,,,
Tuva,307930,,,
Tver',1353392,,,
Tyumen',1537416,,,
Udmurt,1521420,,,
Ul'yanovsk,1292799,,,
Vladimir,1443693,,,
Volgograd,2610161,,,
Vologda,1202444,,,
Voronezh,2335380,,,
Yamal-Nenets,522904,,,
Yaroslavl',1272468,,,
Yevrey,176558,,,
Zabaykal'ye,1107107,,,
