shapeName,Cartogram Data (eg. Population),Color,Inset,Label,
ANG MO KIO,174770,,,,
BEDOK,289750,,,,
BISHAN,90700,,,,
BOON LAY,30,,,,
BUKIT BATOK,139270,,,,
BUKIT MERAH,155840,,,,
BUKIT PANJANG,139030,,,,
BUKIT TIMAH,74470,,,,
CENTRAL WATER CATCHMENT,10,,,,
CHANGI,2530,,,,
CHANGI BAY,0,,,,
CHOA CHU KANG,174330,,,,
CLEMENTI,91630,,,,
DOWNTOWN CORE,3720,,,,
GEYLANG,116960,,,,
HOUGANG,222310,,,,
JURONG EAST,84980,,,,
JURONG WEST,272660,,,,
KALLANG,101210,,,,
LIM CHU KANG,90,,,,
MANDAI,2120,,,,
MARINA EAST,0,,,,
MARINA SOUTH,0,,,,
MARINE PARADE,48730,,,,
MUSEUM,380,,,,
NEWTON,6920,,,,
NORTH-EASTERN ISLANDS,60,,,,
NOVENA,47990,,,,
ORCHARD,920,,,,
OUTRAM,22080,,,,
PASIR RIS,139890,,,,
PAYA LEBAR,40,,,,
PIONEER,100,,,,
PUNGGOL,109750,,,,
QUEENSTOWN,98050,,,,
RIVER VALLEY,9190,,,,
ROCHOR,14590,,,,
SELETAR,270,,,,
SEMBAWANG,76530,,,,
SENGKANG,206680,,,,
SERANGOON,120670,,,,
SIMPANG,0,,,,
SINGAPORE RIVER,2720,,,,
SOUTHERN ISLANDS,1480,,,,
STRAITS VIEW,0,,,,
SUNGEI KADUT,850,,,,
TAMPINES,261230,,,,
TANGLIN,19000,,,,
TENGAH,10,,,,
TOA PAYOH,124940,,,,
TUAS,70,,,,
WESTERN ISLANDS,0,,,,
WESTERN WATER CATCHMENT,900,,,,
WOODLANDS,250290,,,,
YISHUN,201970,,,,
